gene_id	yzy02_1	yzy01_3
A.satnudSFS1A01G000553.1	44.277	49
A.satnudSFS1A01G000554.1	0	0
A.satnudSFS1A01G000555.1	4	0
A.satnudSFS1A01G000556.1	0	0
A.satnudSFS1A01G000557.1	20	19.008
A.satnudSFS1A01G000558.1	156.556	79.88
A.satnudSFS1A01G000559.1	18	19.252
A.satnudSFS1A01G000560.1	0	0
A.satnudSFS1A01G000561.1	0	0
A.satnudSFS1A01G000562.1	0	0
A.satnudSFS1A01G000563.1	52.363	47
A.satnudSFS1A01G000564.1	0	0
A.satnudSFS1A01G000565.1	0	0
A.satnudSFS1A01G000566.1	19	15
A.satnudSFS1A01G000567.1	11	3
A.satnudSFS1A01G000568.1	35.003	21.414
A.satnudSFS1A01G000569.1	0	0
A.satnudSFS1A01G000570.1	15	22.527
A.satnudSFS1A01G000571.1	19	13
A.satnudSFS1A01G000572.1	0	0
A.satnudSFS1A01G000573.1	5	18
A.satnudSFS1A01G000574.1	240.227	153.001
A.satnudSFS1A01G000575.1	13	3
A.satnudSFS1A01G000576.1	0	0
A.satnudSFS1A01G000577.1	5	0
A.satnudSFS1A01G000578.1	0	1
A.satnudSFS1A01G000579.1	1339.413	914.852
A.satnudSFS1A01G000580.1	8	33.006
A.satnudSFS1A01G000581.1	1	0
A.satnudSFS1A01G000582.1	0	0
A.satnudSFS1A01G000583.1	1285.78	1020.748
A.satnudSFS1A01G000584.1	0	0
A.satnudSFS1A01G000585.1	0	0
A.satnudSFS1A01G000586.1	10	27
A.satnudSFS1A01G000587.1	184.461	142.162
A.satnudSFS1A01G000588.1	2	2
A.satnudSFS1A01G000589.1	264.457	264.2
A.satnudSFS1A01G000590.1	937.175	896.997
A.satnudSFS1A01G000591.1	0	0
A.satnudSFS1A01G000592.1	0	0
A.satnudSFS1A01G000593.1	98	172
A.satnudSFS1A01G000594.1	0	0
A.satnudSFS1A01G000595.1	0	0
A.satnudSFS1A01G000596.1	0	0
A.satnudSFS1A01G000597.1	69	34.457
A.satnudSFS1A01G000598.1	2	25
A.satnudSFS1A01G000599.1	0	0
A.satnudSFS1A01G000600.1	0	0
A.satnudSFS1A01G000601.1	0	0
A.satnudSFS1A01G000602.1	0	0
A.satnudSFS1A01G000603.1	0	0
A.satnudSFS1A01G000604.1	0	0
A.satnudSFS1A01G000605.1	0	0
A.satnudSFS1A01G000606.1	3	2
A.satnudSFS1A01G000607.1	0	0
A.satnudSFS1A01G000608.1	0	0
A.satnudSFS1A01G000609.1	9	13
A.satnudSFS1A01G000610.1	10.999	6
A.satnudSFS1A01G000611.1	0	0
A.satnudSFS1A01G000612.1	10	6
A.satnudSFS1A01G000613.1	0	0
A.satnudSFS1A01G000614.1	0	0
A.satnudSFS1A01G000615.1	18	37
A.satnudSFS1A01G000616.1	0	0
